Código da Máquina, Capacidade Produtiva Diária
CO002, [15, 18, 20, 17, 22, 19, 25]
PR5678, [9, 10, 11, 8, 14, 13, 10]
FU9012, [15, 18, 20, 17, 22, 19, 25]
CO001, [15, 18, 20, 17, 22, 19, 25]
FU0001, [15, 18, 20, 17, 22, 19, 25]
PR6969, [8, 8, 10, 12, 10, 19, 16]
PR6961, [8, 8, 10, 12, 10, 19, 16]
CO002, [15, 18, 20, 17, 22, 19, 25]
PR5678, [9, 10, 11, 8, 14, 13, 10]
FU9012, [15, 18, 20, 17, 22, 19, 25]
CO001, [15, 18, 20, 17, 22, 19, 25]
FU0001, [15, 18, 20, 17, 22, 19, 25]
PR6969, [8, 8, 10, 12, 10, 19, 16]
PR6961, [8, 8, 10, 12, 10, 19, 16]
